group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,1,5.8,7,0,0.206000000000003,-0.0509644231169588
French,FR01,sync,1,5.8,8,0,0.206000000000003,1.16490109982509
French,FR01,sync,1,5.8,9,0,0.191999999999993,1.85606738384497
French,FR01,sync,1,5.8,10,0,0.194000000000003,2.62044060124186
French,FR01,sync,1,5.8,11,0,0.191999999999993,-2.93069870230737
French,FR01,sync,1,5.8,12,0,0.194000000000003,-2.15027803435956
French,FR01,sync,1,5.8,13,0,0.180000000000007,-1.87840302346709
French,FR01,sync,1,6.1,1,0,NaN,-0.834186599857436
French,FR01,sync,1,6.1,2,0,0.184000000000012,-0.0765308807206431
French,FR01,sync,1,6.1,3,0,0.201999999999998,1.36059243878107
French,FR01,sync,1,6.1,4,0,0.185999999999993,2.1914524364063
French,FR01,sync,1,6.1,5,0,0.186000000000007,3.03062287654472
French,FR01,sync,1,6.1,6,0,0.188000000000002,-2.34663976800958
French,FR01,sync,1,6.1,7,0,0.191999999999993,-1.27962432475487
French,FR01,sync,1,6.1,8,0,0.164000000000001,-1.2917984390673
French,FR01,sync,1,6.1,9,0,0.239999999999995,1.6148015832092
French,FR01,sync,1,6.1,10,0,0.216000000000008,-2.69497498594686
French,FR01,sync,1,6.1,11,0,0.201999999999998,-1.24282786295847
French,FR01,sync,1,6.1,12,0,0.209999999999994,0.512756900829157
French,FR01,sync,2,1,1,86.6666666666667,NaN,2.27360363974311
French,FR01,sync,2,1,2,86.6666666666667,0.946,1.93232133622119
French,FR01,sync,2,1,3,86.6666666666667,0.62,-0.456068039693302
French,FR01,sync,2,1,4,86.6666666666667,1.042,-0.193483410778976
French,FR01,sync,2,1,5,86.6666666666667,0.896000000000001,-0.849146994732783
French,FR01,sync,2,1,6,86.6666666666667,0.984,-0.951084038699243
French,FR01,sync,2,1,7,86.6666666666667,0.969999999999999,-1.14182635830193
French,FR01,sync,2,1,8,86.6666666666667,1.044,-0.867989013846677
French,FR01,sync,2,1,9,86.6666666666667,0.960000000000001,-1.12069611957692
French,FR01,sync,2,1,10,86.6666666666667,1.144,-0.217354740680273
French,FR01,sync,2,1,11,86.6666666666667,1.056,0.131920507349296
French,FR01,sync,2,1,12,86.6666666666667,0.958,-0.133176893133583
French,FR01,sync,2,1,13,86.6666666666667,1.004,-0.109305563232291
French,FR01,sync,2,1,14,86.6666666666667,1.03,0.0778647789416591
French,FR01,sync,2,1,15,86.6666666666667,1.032,0.275093479062847
French,FR01,sync,2,1,16,86.6666666666667,1.012,0.348088466017764
French,FR01,sync,2,1,17,86.6666666666667,0.983999999999998,0.2474585176958
French,FR01,sync,2,1,18,86.6666666666667,0.936,-0.157016825949123
French,FR01,sync,2,1,19,86.6666666666667,1.34,1.97198449993145
French,FR01,sync,2,1,20,86.6666666666667,0.682000000000002,-0.0226375771675724
French,FR01,sync,2,1,21,86.6666666666667,0.995999999999999,-0.0477522083345652
French,FR01,sync,2,1.3,1,66.6666666666667,NaN,2.34313173487595
French,FR01,sync,2,1.3,2,66.6666666666667,0.468,-0.119197642261995
